id,incident_date,title,area,severity,environment,detection,detection_method,detection_evidence,era,status,introduced_sha,introduced_date,prod_exposure_start,detected_date,fix_shas,fix_date,fix_reached_main_date,fix_path,days_live_in_prod,confidence,env_confidence,environment_basis,source,evidence
BUG-0001,2026-02-17,CORS blocked Vercel frontend calls to Render backend,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,d80df10,2026-02-17,,2026-02-17,e096dcf 6c96bfd fa92f9a 2867932,2026-02-17,2026-02-17,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"'Fix CORS for Vercel frontend'; 2867932 comment 'Without CORSMiddleware, OPTIONS hits the route and returns Method Not Allowed ... prevents sometimes works issues'"
BUG-0002,2026-02-17,OAuth secrets tracked in git,auth,degraded,staging,other,unknown,,pre-staging,fixed,d80df10,2026-02-17,,2026-02-17,9643a00,2026-02-17,2026-02-17,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,9643a00 'Stop tracking OAuth secrets; ignore local files'
BUG-0003,2026-02-17,Render boot failed importing nonexistent job_registry router,deploy-infra,blocked-workflow,prod,other,unknown,,pre-staging,fixed,,,,2026-02-17,fa92f9a,2026-02-17,2026-02-17,direct-to-main,,med,high,pre-staging era: every commit went straight to main,commit,fa92f9a 'Fix Render import: include jobs router' replaces app.routers.job_registry import
BUG-0004,2026-02-17,TS build failed on unused jobNameSource,deploy-infra,blocked-workflow,prod,other,unknown,,pre-staging,fixed,,,,2026-02-17,0152999,2026-02-17,2026-02-17,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,0152999 'Use jobNameSource in UI to satisfy TS'
BUG-0005,2026-02-19,Backend deploy missing python-jose auth deps,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,a5a61bf,2026-02-19,,2026-02-19,4690b37,2026-02-19,2026-02-19,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,4690b37 'Add python-jose and auth deps to requirements' after a5a61bf added JWT auth
BUG-0006,2026-02-19,TS build errors in RequireAuth,deploy-infra,blocked-workflow,staging,other,unknown,,pre-staging,fixed,a5a61bf,2026-02-19,,2026-02-19,e0a0f3f 00fdc82,2026-02-19,2026-02-19,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,"'Fix RequireAuth TS build errors (remove React import, avoid JSX namespace)'"
BUG-0007,2026-02-19,Vercel install failed: eslint incompatible with react-hooks plugin,deploy-infra,blocked-workflow,staging,other,dev-self-found,Fix Vercel build: pin eslint to v9 for react-hooks plugin compatibility,pre-staging,fixed,a5a61bf,2026-02-19,,2026-02-19,d4f6944 387e675,2026-02-19,2026-02-19,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,"d4f6944, 387e675 'Fix Vercel install: pin eslint to v9'"
BUG-0008,2026-02-20,Mailer crashed on duplicated from __future__ import,notifications-email,blocked-workflow,staging,other,unknown,,pre-staging,fixed,8a78ed8,2026-02-20,,2026-02-20,e61d1eb,2026-02-20,2026-02-20,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,e61d1eb 'Fix mailer future import order' removes second from __future__ import block (SyntaxError)
BUG-0009,2026-02-20,SMTP email timed out on Render,notifications-email,blocked-workflow,staging,other,dev-self-found,Add SMTP debug logging for Postmark / Temporary SMTP debug logging,pre-staging,fixed,3cf546a,2026-02-20,,2026-02-20,5a38fbe,2026-02-20,2026-02-20,staging-only-fix,,med,high,bug and fix reached main in the same merge,commit,5a38fbe 'Use Postmark HTTP API for email (avoid SMTP timeouts)'
BUG-0010,2026-03-12,Google OAuth token lost on Render restarts,deploy-infra,degraded,prod,other,unknown,,pre-staging,fixed,4162228,2026-02-17,2026-02-17,,ea9f740,2026-03-12,2026-03-12,direct-to-main,23,low,high,"introducing commit on main 2026-02-17, fix on main 2026-03-12",commit,ea9f740 'Add system_config table to store OAuth token across Render restarts'
BUG-0011,2026-03-12,forgot-password returned 500 when email send failed,auth,blocked-workflow,staging,other,unknown,,pre-staging,fixed,540e3a1,2026-03-12,,2026-03-12,3a5b0b5,2026-03-12,2026-03-12,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,3a5b0b5 'forgot-password now catches send_email errors and logs them server-side instead of returning 500'
BUG-0012,2026-03-12,test-email endpoint crashed; calendar invalid_grant opaque,notifications-email,degraded,prod,other,unknown,,pre-staging,fixed,,,,,6dca21e,2026-03-12,2026-03-12,direct-to-main,,low,high,pre-staging era: every commit went straight to main,commit,6dca21e 'test-email now returns detailed ok/error JSON instead of crashing'
BUG-0013,2026-03-24,ADMIN_EMAIL startup promotion did not reliably run,auth,blocked-workflow,staging,other,unknown,,pre-staging,fixed,d5bd579,2026-03-24,,2026-03-24,d94b00f,2026-03-24,2026-03-24,staging-only-fix,,high,high,bug and fix reached main in the same merge,commit,d94b00f 'Startup hook wasn't reliably running the promotion'
BUG-0014,2026-03-24,Initial Alembic migration dropped tables instead of creating,deploy-infra,blocked-workflow,prod,other,unknown,,pre-staging,fixed,a5a61bf,2026-02-19,2026-02-19,2026-03-24,b072b6b,2026-03-24,2026-03-24,direct-to-main,33,high,high,"introducing commit on main 2026-02-19, fix on main 2026-03-24",commit,b072b6b 'had upgrade() dropping tables instead of creating them'
BUG-0015,2026-03-24,JWT expiry and secret env vars silently ignored,auth,degraded,prod,other,unknown,,pre-staging,fixed,,,,,405e6d9,2026-03-24,2026-03-24,direct-to-main,,high,high,pre-staging era: every commit went straight to main,commit,405e6d9 'so ACCESS_TOKEN_EXPIRE_MINUTES and JWT_SECRET are actually read from Render env vars (BaseModel silently ignored them)'
