feature,prd_capability,user_classes,first_commit,first_on_staging_date,first_on_main_date,removed_date,source,evidence
"Account administration (activate/deactivate, promote to admin)",Auth and account,Admin,d80df10,2026-02-17,2026-02-17,,prd code guide,backend/app/routers/users.py; ADMIN_GUIDE section 2
"Job selection (calendar picker + manual entry fallback, shared dropdown)",Job capture and timeline,Crew,d80df10,2026-02-17,2026-02-17,,prd code guide,"frontend/src/App.tsx, backend/app/routers/jobs.py; CREW_GUIDE 4.1 step 1 (shared manual-entry dropdown added later as an enhancement)"
"Timeline events (Start/Arrive/Depart/Finish/Break, GPS, notes)",Job capture and timeline,"Crew, Admin (Map)",d80df10,2026-02-17,2026-02-17,,prd code guide,frontend/src/App.tsx; CREW_GUIDE section 5
Login (session-based authentication),Auth and account,"Crew, Admin",a5a61bf,2026-02-19,2026-02-19,,prd code guide,frontend/src/pages/Login.tsx; CREW_GUIDE 2.3; PRD capability 1
"Password reset (forgot/reset link, 15-min expiry)",Auth and account,"Crew, Admin",a5a61bf,2026-02-19,2026-02-19,,prd code guide,"frontend/src/pages/ForgotPassword.tsx, ResetPassword.tsx; CREW_GUIDE 2.4"
"Signup (self-service signup, pending admin approval)",Auth and account,Crew,a5a61bf,2026-02-19,2026-02-19,,prd code guide,"frontend/src/pages/Signup.tsx; CREW_GUIDE 2.2, new accounts inactive until admin activates"
"Job photos (take/upload, caption, compress, per-job Drive folder)",Photos and incidents,"Crew, Admin (view)",1c1ec98,2026-03-26,2026-03-26,,prd code guide,backend/app/routers/photos.py; CREW_GUIDE section 8; PRD 'Photos and incidents' purpose entry
Materials logging (add/remove materials on a job),"Money out (reimbursements, materials)",Crew,1ee2534,2026-03-26,2026-03-26,,prd code guide,backend/app/routers/materials.py; CREW_GUIDE section 6
Admin Notes (global banner + per-job notes),Admin job summary and notes,"Admin, Crew (sees banner/per-job note)",e963994,2026-04-18,2026-04-18,,code guide,backend/app/routers/admin_notes.py; ADMIN_GUIDE 13.6
"Bill / Invoice calculator (auto-seeded line items, per-line review ticks)",Job capture and timeline,"Crew (lead), Admin (Job Summary invoice block)",5ce8174,2026-04-16,2026-04-18,,prd patch-notes-v1.8 patch-notes-v2.4 code guide,"frontend/src/components/BillCalculator.tsx, backend/app/routers/bill.py; CREW_GUIDE section 7"
"DVIR Review queue (admin pending-defect list, filter)",Vehicle and DVIR,Admin,dd8b526,2026-04-16,2026-04-18,,code guide,"Admin.tsx DVIR Review tab; ADMIN_GUIDE 3, 13.3"
"DVIR submission (pre-trip / post-trip, 25-item checklist, driver signature)",Vehicle and DVIR,Crew (driver),dd8b526,2026-04-16,2026-04-18,,prd patch-notes-v1.8 code guide,"frontend/src/pages/DVIR.tsx, backend/app/routers/dvir.py; CREW_GUIDE 3.1"
Document Library (browse/download company reference docs),"Customer paperwork (BOL, inventory, signature, documents)","Crew, Admin (upload/delete)",1870bfa,2026-04-17,2026-04-18,,prd code guide,"frontend/src/pages/DocumentLibrary.tsx, backend/app/routers/documents.py; CREW_GUIDE section 9"
Employee Hours editor (roster-based per-person hours + breaks),Job capture and timeline,Crew (lead),358d0a1,2026-04-16,2026-04-18,,code guide,embedded in JobReport.tsx from the start; roster-pick requirement added v1.8 line; CREW_GUIDE 7.4
"Estimator (rooms, catalog + custom items, photos, autosave)",Estimating,Admin,b61e81a,2026-04-17,2026-04-18,,prd code guide,"frontend/src/components/EstimatorTab.tsx, backend/app/routers/estimates.py; ADMIN_GUIDE section 12/13.1 in CREW_GUIDE"
"Job Report (job type, hours-match, review candidate)",Job capture and timeline,Crew (lead),358d0a1,2026-04-16,2026-04-18,,prd patch-notes-v1.8 code guide,"frontend/src/components/JobReport.tsx, backend/app/routers/job_report.py; CREW_GUIDE 4.3 step 10"
"Job Summary (full per-job admin review surface, invoice copy-block)",Admin job summary and notes,Admin,0eb78d2,2026-04-18,2026-04-18,,prd patch-notes-v1.8 code guide,backend/app/routers/job_summary.py; ADMIN_GUIDE section 'Job Summary'
"Mechanic sign-off, in-person (admin signs on device)",Vehicle and DVIR,Admin,dd8b526,2026-04-16,2026-04-18,,code guide,shipped in the same DVIR commit as driver/mechanic signature fields; ADMIN_GUIDE 13.3
"Patch Notes (publish titled updates, previewed on crew Profile)","Crew comms (bulletin, directory, patch notes)","Admin (publish), Crew (read)",9531d9f,2026-04-18,2026-04-18,,prd code guide,backend/app/routers/patch_notes.py; CREW_GUIDE 2.5 'Patch Notes'; ADMIN_GUIDE 13.6
Prior On-Duty Hours Statement (PODS),Long-distance mode,Crew (driver),1870bfa,2026-04-17,2026-04-18,,prd patch-notes-v1.8 code guide,frontend/src/pages/LongDistance.tsx (prior-hours form); CREW_GUIDE 3.2
"Mechanic sign-off, remote (emailed link, no app account)",Vehicle and DVIR,"Admin, Mechanic (external, no login)",f870ad8,2026-05-15,2026-05-15,,code guide,frontend/src/pages/MechanicSign.tsx; ADMIN_GUIDE 13.3 remote sign-off
Office hours (admin-only shop/office time logging),"Time capture siblings (off-job, office, availability, LD workday)",Admin,f0fe79e,2026-05-14,2026-05-15,,prd code guide,"frontend/src/pages/OfficeHours.tsx, backend/app/routers/office_hours.py; ADMIN_GUIDE 13.4"
"Reimbursement / Expense requests (mileage + business expense, admin review)","Money out (reimbursements, materials)","Crew, Admin (approve/reject)",f0fe79e,2026-05-14,2026-05-15,,prd code guide,"frontend/src/pages/Reimbursement.tsx, backend/app/routers/reimbursement.py; CREW_GUIDE section 10"
"Availability (Scheduling Availability: submit, quick fill, history, unlocks, future absence)","Time capture siblings (off-job, office, availability, LD workday)","Crew, Admin (unlocks)",484ec82,2026-06-10,2026-06-11,,prd code guide,"frontend/src/pages/Availability.tsx, backend/app/routers/availability.py; CREW_GUIDE section 11"
Email aliases (alternate addresses mapped to crew for calendar matching),"Roster, skills, DQ files",Admin,fa10e52,2026-06-11,2026-06-11,,code guide,backend/app/routers/user_email_aliases.py; ADMIN_GUIDE 'Email aliases'
Employee Tags (free-form labels on roster),"Roster, skills, DQ files",Admin,865d6b3,2026-06-10,2026-06-11,,code guide,backend/app/routers/employee_tags.py; ADMIN_GUIDE 'Employee Tags & Email Aliases'
Month Schedule View (admin: availability grid + scheduled jobs),"Time capture siblings (off-job, office, availability, LD workday)",Admin,7ec3570,2026-06-11,2026-06-11,,patch-notes-v1.8 code guide,Admin.tsx Employees tab month view; ADMIN_GUIDE 13.1 / CREW_GUIDE 11.9
"Digital Bill of Lading (BOL): build inventory, sign origin/destination, on-device PDF, federal detail cards","Customer paperwork (BOL, inventory, signature, documents)","Crew, Admin (Job Summary review)",1a5be02,2026-07-01,2026-07-03,,prd patch-notes-v1.8 patch-notes-v2.3 patch-notes-v2.4 code guide,"frontend/src/components/BillOfLadingForm.tsx, backend/app/routers/bol.py; CREW_GUIDE 3.3"
LD workday (day-plan selector swapping Timeline into RODS/Inventory mode),"Time capture siblings (off-job, office, availability, LD workday)",Crew,9a91738,2026-07-01,2026-07-03,,prd patch-notes-v2.4 code guide,frontend/src/components/LdWorkday.tsx; CREW_GUIDE 5.7; v2.4 'Internal rearrange' + Job setup tile edit-in-place
Per-diem and drive-day tracking,Long-distance mode,"Crew, Admin (payroll per-diem)",c7417ea,2026-07-01,2026-07-03,,prd code guide,backend/app/routers/long_distance.py per-employee per-diem; ADMIN_GUIDE Payroll per-diem section
"Record of Duty Status (RODS) recorder (tap-to-timestamp, multi-driver, scale weight)",Long-distance mode,Crew (driver),8d693bb,2026-07-01,2026-07-03,,prd patch-notes-v2.4 code guide,"frontend/src/components/RodsRecorder.tsx, RodsSignoff.tsx; CREW_GUIDE 3.2"
"Actual inventory (long-distance furniture/box logging with pack type, chow volume)","Customer paperwork (BOL, inventory, signature, documents)",Crew,af1f1f7,2026-07-06,2026-07-16,,prd patch-notes-v1.8 code guide,"frontend/src/components/ActualInventory.tsx, BolInventoryTab.tsx, backend/app/routers/job_inventory.py; CREW_GUIDE 3.3 Inventory Tab"
